area_type,availability,location,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,Ready To Move,Whitefield,ArsiaEx,2268.0,3.0,2.0,163.0,4.0,7186.94885361552
Super built-up  Area,21-Dec,Kanakpura Road,PrarePa,1100.0,3.0,2.0,53.0,3.0,4818.181818181818
Super built-up  Area,Ready To Move,other,VMianri,1141.0,2.0,0.0,62.0,2.0,5433.829973707274
Built-up  Area,Ready To Move,Attibele,Jae 1hu,400.0,1.0,1.0,12.0,1.0,3000.0
Super built-up  Area,Ready To Move,Kanakpura Road,Puestol,1843.0,3.0,2.0,95.84,3.0,5200.217037438958
Super built-up  Area,Ready To Move,Rachenahalli,Sovar S,1530.0,2.0,2.0,74.5,3.0,4869.281045751634
Super built-up  Area,Ready To Move,Vittasandra,Prlla C,1246.0,2.0,1.0,64.5,2.0,5176.565008025682
Super built-up  Area,19-Dec,Kanakapura,GoityEt,711.0,1.0,1.0,38.0,1.0,5344.585091420535
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1194.0,2.0,2.0,46.0,2.0,3852.5963149078725
Super built-up  Area,Ready To Move,other,ARngsd ,1358.0,2.0,1.0,43.4,3.0,3195.8762886597938
Super built-up  Area,Ready To Move,Hoodi,Goeur G,1420.0,2.0,2.0,75.0,2.0,5281.69014084507
Super built-up  Area,Ready To Move,other,Gruesaf,1209.0,2.0,1.0,50.0,2.0,4135.6492969396195
Super built-up  Area,Ready To Move,Panathur,Saite G,1315.0,2.0,1.0,54.8,3.0,4167.300380228137
Super built-up  Area,Ready To Move,other,RKncyha,1600.0,2.0,2.0,65.0,3.0,4062.5
Super built-up  Area,Ready To Move,other,AritaFe,1563.0,3.0,2.0,52.0,3.0,3326.935380678183
Super built-up  Area,Ready To Move,Whitefield,SRidePr,1560.0,2.0,2.0,72.0,3.0,4615.384615384615
Super built-up  Area,Ready To Move,Iblur Village,Emine P,3235.0,3.0,1.0,235.0,3.0,7264.296754250387
Super built-up  Area,Ready To Move,HSR Layout,NRosete,1140.0,2.0,2.0,46.0,2.0,4035.0877192982457
Super built-up  Area,Ready To Move,JP Nagar,Saowsri,1100.0,2.0,2.0,70.0,2.0,6363.636363636364
Super built-up  Area,18-Mar,Hebbal,Arcia S,1036.0,2.0,1.0,50.0,2.0,4826.254826254826
Built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1662.0,3.0,3.0,85.1,3.0,5120.336943441636
Super built-up  Area,Ready To Move,other,PuontBe,1464.0,2.0,3.0,105.0,3.0,7172.131147540984
Super built-up  Area,Ready To Move,Yelahanka,NCowsar,1234.0,2.0,2.0,80.0,2.0,6482.982171799027
Super built-up  Area,Ready To Move,Sarjapur  Road,Arldsyo,1403.0,3.0,1.0,55.0,3.0,3920.1710620099784
Built-up  Area,Ready To Move,Hebbal,RMudeat,3900.0,4.0,2.0,410.0,4.0,10512.820512820514
Built-up  Area,Ready To Move,other,Saarea ,1405.0,2.0,2.0,70.0,2.0,4982.20640569395
Super built-up  Area,18-Apr,Haralur Road,SNnia E,2805.0,4.0,3.0,154.0,4.0,5490.196078431372
Super built-up  Area,Ready To Move,Yeshwanthpur,IBityin,1161.0,2.0,2.0,64.08,2.0,5519.37984496124
Super built-up  Area,18-Dec,Kanakpura Road,Soena A,1290.0,2.0,3.0,74.0,2.0,5736.434108527132
Super built-up  Area,Ready To Move,Yeshwanthpur,IBityin,2557.0,3.0,2.0,141.0,3.0,5514.274540477121
Built-up  Area,Ready To Move,other,Raaden ,1480.0,3.0,2.0,90.0,3.0,6081.081081081081
Super built-up  Area,20-Dec,Old Madras Road,SheldGr,1350.0,3.0,0.0,54.54,3.0,4040.0
Super built-up  Area,Ready To Move,Kadugodi,MSingco,1580.0,2.0,2.0,65.0,3.0,4113.9240506329115
Super built-up  Area,18-Sep,Sarjapur  Road,PualeSk,1346.0,2.0,1.0,61.92,2.0,4600.297176820208
Super built-up  Area,Ready To Move,other,RMncy R,1200.0,2.0,2.0,35.0,2.0,2916.6666666666665
Built-up  Area,Ready To Move,Channasandra,Pritehi,1340.0,2.0,2.0,48.33,3.0,3606.716417910448
Super built-up  Area,Ready To Move,Jigani,DLhtsan,918.0,2.0,2.0,48.0,2.0,5228.75816993464
Plot  Area,Ready To Move,other,CoiewSy,1500.0,3.0,2.0,115.0,3.0,7666.666666666667
Super built-up  Area,Ready To Move,Yelahanka,Velas V,1315.0,2.0,2.0,85.0,2.0,6463.878326996198
Super built-up  Area,Ready To Move,Uttarahalli,Aklia R,1330.0,2.0,1.0,56.0,3.0,4210.526315789473
Super built-up  Area,17-Dec,other,Ceral C,1824.0,3.0,3.0,125.0,3.0,6853.070175438596
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,1420.0,2.0,2.0,96.0,3.0,6760.56338028169
Super built-up  Area,Ready To Move,other,ShshaSa,1260.0,2.0,1.0,60.0,3.0,4761.9047619047615
Super built-up  Area,19-Sep,Hennur Road,Orens G,1561.0,3.0,2.0,95.0,3.0,6085.842408712364
Super built-up  Area,18-Jul,Haralur Road,SNnia E,1225.0,2.0,1.0,67.38,2.0,5500.408163265306
Super built-up  Area,Ready To Move,Thanisandra,Soitya ,2144.0,3.0,2.0,135.0,3.0,6296.641791044776
Super built-up  Area,Ready To Move,Electronic City,Itelaa ,880.0,2.0,2.0,29.0,2.0,3295.4545454545455
Super built-up  Area,21-Dec,Hoodi,GoAirej,1639.0,3.0,2.0,110.0,3.0,6711.4093959731545
Built-up  Area,Ready To Move,Thanisandra,Pronyt ,1240.0,2.0,1.0,62.0,3.0,5000.0
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1243.0,2.0,1.0,46.0,2.0,3700.7240547063557
Super built-up  Area,Ready To Move,Kambipura,Prrtht ,1082.0,2.0,1.0,56.0,3.0,5175.6007393715345
Super built-up  Area,Ready To Move,Kanakpura Road,Puestol,1665.0,3.0,2.0,86.58,3.0,5200.0
Super built-up  Area,18-Dec,Electronic City,GoontLa,1265.0,2.0,0.0,56.93,2.0,4500.395256916996
Super built-up  Area,21-Dec,Electronic City,KonteiT,1691.0,2.0,2.0,102.0,3.0,6031.933767001774
Super built-up  Area,Ready To Move,Thanisandra,SLaceda,1100.0,2.0,1.0,38.0,2.0,3454.5454545454545
Built-up  Area,Ready To Move,Hosakerehalli,Taonte ,3205.0,5.0,1.0,380.0,4.0,11856.474258970358
Super built-up  Area,Ready To Move,Choodasandra,GRhtiru,1115.0,2.0,2.0,50.0,2.0,4484.304932735426
Super built-up  Area,Ready To Move,Mysore Road,Brama P,1070.0,2.0,1.0,45.0,2.0,4205.607476635514
Super built-up  Area,Ready To Move,Indira Nagar,Aentsbe,1128.0,2.0,2.0,105.0,2.0,9308.510638297872
Super built-up  Area,Ready To Move,Budigere,PrityTr,1162.0,2.0,1.0,57.0,2.0,4905.335628227194
Super built-up  Area,Ready To Move,other,Alivae ,1339.0,2.0,2.0,55.0,2.0,4107.542942494399
Super built-up  Area,Ready To Move,Mahadevpura,Neagar ,1192.0,2.0,2.0,75.0,2.0,6291.946308724832
Super built-up  Area,Ready To Move,Haralur Road,DSimaUl,1920.0,3.0,1.0,115.0,3.0,5989.583333333333
Super built-up  Area,Ready To Move,Hennur,Shateor,1255.0,2.0,1.0,52.32,2.0,4168.924302788844
Super built-up  Area,18-Apr,Rajaji Nagar,ProdsWe,1357.0,2.0,1.0,115.0,2.0,8474.57627118644
Super built-up  Area,Ready To Move,other,Saersel,1225.0,2.0,2.0,55.11,2.0,4498.775510204082
Plot  Area,Ready To Move,Whitefield,Saark H,2400.0,4.0,3.0,200.0,4.0,8333.333333333334
Super built-up  Area,Ready To Move,Thanisandra,Bhmesy ,1093.0,2.0,2.0,70.0,2.0,6404.391582799634
Built-up  Area,Ready To Move,other,Suncy R,1865.0,3.0,3.0,145.0,3.0,7774.798927613941
Super built-up  Area,Ready To Move,other,Srsica ,1039.0,2.0,2.0,80.0,2.0,7699.711260827719
Super built-up  Area,Ready To Move,Vittasandra,Prlla C,1246.0,2.0,1.0,64.5,2.0,5176.565008025682
Super built-up  Area,Ready To Move,Whitefield,Suent V,1985.0,3.0,2.0,75.0,3.0,3778.337531486146
Super built-up  Area,Ready To Move,Hosakerehalli,APncyla,1590.0,3.0,3.0,49.0,3.0,3081.761006289308
Plot  Area,Ready To Move,other,EmardBo,4000.0,4.0,2.0,675.0,4.0,16875.0
Super built-up  Area,Ready To Move,Electronic City Phase II,Assha A,775.0,2.0,2.0,38.0,2.0,4903.225806451613
Super built-up  Area,Ready To Move,other,PancyRe,1000.0,2.0,1.0,50.0,2.0,5000.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,Goateds,1800.0,3.0,2.0,175.0,3.0,9722.222222222223
Super built-up  Area,18-Jun,Bommasandra,SSestth,1035.0,2.0,1.0,41.0,2.0,3961.352657004831
Super built-up  Area,Ready To Move,Dasarahalli,Syonyph,1520.0,2.0,1.0,75.0,3.0,4934.210526315789
Super built-up  Area,Ready To Move,Whitefield,BrlisCo,1360.0,2.0,1.0,95.0,2.0,6985.294117647059
Plot  Area,Ready To Move,other,FeowsMe,6000.0,5.0,3.0,400.0,4.0,6666.666666666667
Super built-up  Area,Ready To Move,other,Shyas S,1117.0,2.0,2.0,56.0,2.0,5013.428827215756
Plot  Area,Ready To Move,KR Puram,Esnamin,1200.0,4.0,3.0,120.0,4.0,10000.0
Super built-up  Area,Ready To Move,EPIP Zone,BrontLa,1330.0,2.0,1.0,92.5,2.0,6954.887218045113
Super built-up  Area,Ready To Move,Marathahalli,Prionad,1937.0,3.0,2.0,160.0,3.0,8260.196179659268
Super built-up  Area,18-Aug,Electronic City,Prarkun,1128.0,2.0,1.0,65.49,2.0,5805.851063829787
Super built-up  Area,Ready To Move,Neeladri Nagar,NatisAt,1053.0,2.0,1.0,45.0,2.0,4273.504273504273
Super built-up  Area,18-May,Panathur,Prcesvy,1198.0,2.0,1.0,77.0,2.0,6427.378964941569
Super built-up  Area,18-Apr,Marathahalli,Spows M,1152.0,2.0,1.0,56.0,2.0,4861.111111111111
Super built-up  Area,Ready To Move,Frazer Town,Maentr ,1625.0,2.0,1.0,75.0,2.0,4615.384615384615
Super built-up  Area,Ready To Move,Kundalahalli,Dieldli,1397.0,3.0,3.0,105.0,3.0,7516.1059413027915
Super built-up  Area,Ready To Move,Yeshwanthpur,Saade E,1523.0,3.0,3.0,170.0,3.0,11162.179908076165
Super built-up  Area,Ready To Move,Kambipura,Prrtht ,883.0,2.0,1.0,45.0,2.0,5096.262740656852
Super built-up  Area,Ready To Move,Kaggalipura,Baowsig,700.0,1.0,0.0,38.0,1.0,5428.571428571428
Super built-up  Area,Ready To Move,Yelahanka,Neite T,1170.0,2.0,1.0,62.5,2.0,5341.880341880342
Super built-up  Area,Ready To Move,Kanakpura Road,Shiew T,1200.0,2.0,2.0,42.0,3.0,3500.0
Super built-up  Area,Ready To Move,Akshaya Nagar,DLhtsnd,1897.0,3.0,2.0,120.0,3.0,6325.77754348972
Super built-up  Area,18-May,Haralur Road,SNnia E,1875.0,3.0,2.0,110.0,3.0,5866.666666666667
Super built-up  Area,Ready To Move,other,Maens G,3095.0,3.0,3.0,350.0,3.0,11308.562197092084
Super built-up  Area,Ready To Move,Ambalipura,SJarkte,1390.0,2.0,1.0,175.0,3.0,12589.928057553956
Super built-up  Area,20-Dec,Yelahanka,Un 46th,1450.0,3.0,0.0,65.255,3.0,4500.3448275862065
Super built-up  Area,17-Nov,Yelahanka,Prensya,697.0,1.0,0.0,45.0,1.0,6456.241032998565
Built-up  Area,Ready To Move,Sarjapur  Road,Shthi S,710.0,1.0,1.0,27.0,1.0,3802.8169014084506
Carpet  Area,Ready To Move,other,VaoldMa,910.0,2.0,1.0,30.5,2.0,3351.6483516483518
Built-up  Area,Ready To Move,other,Suiseit,1025.0,2.0,1.0,48.0,3.0,4682.926829268293
Super built-up  Area,18-Aug,Magadi Road,Vrenty ,1000.0,2.0,0.0,46.5,2.0,4650.0
Super built-up  Area,Ready To Move,Sarjapur  Road,Adeatlm,3335.0,5.0,2.0,300.0,4.0,8995.502248875562
Super built-up  Area,18-Mar,Thanisandra,SLityee,971.5,2.0,0.0,36.435,2.0,3750.386001029336
Built-up  Area,Ready To Move,Varthur,DSingSt,1024.0,2.0,2.0,42.0,2.0,4101.5625
Built-up  Area,Ready To Move,Electronic City,Suashen,1620.0,3.0,2.0,62.0,3.0,3827.1604938271603
Super built-up  Area,Ready To Move,Whitefield,SSthamh,1254.0,2.0,2.0,40.0,2.0,3189.792663476874
Built-up  Area,Ready To Move,Banashankari,Skave E,1300.0,2.0,2.0,75.0,3.0,5769.2307692307695
Super built-up  Area,18-Oct,Hosur Road,PuendWe,1510.0,2.0,1.0,105.0,3.0,6953.64238410596
Super built-up  Area,Ready To Move,Kaggalipura,Baowsig,950.0,2.0,1.0,65.0,2.0,6842.105263157895
Super built-up  Area,Ready To Move,Battarahalli,PaontWa,1945.0,3.0,2.0,97.42,3.0,5008.740359897172
Super built-up  Area,Ready To Move,Uttarahalli,Shierhi,1008.0,2.0,3.0,45.0,2.0,4464.285714285715
Super built-up  Area,Ready To Move,Thanisandra,Bhmesy ,1265.0,2.0,1.0,79.0,3.0,6245.059288537549
Super built-up  Area,19-Dec,Hebbal,Magiaya,1255.0,2.0,1.0,77.68,3.0,6189.641434262949
Built-up  Area,18-Dec,Kanakpura Road,PrityFa,2689.0,6.0,2.0,220.0,4.0,8181.480104127929
Super built-up  Area,19-Dec,Sarjapur  Road,Daivon ,1403.0,3.0,3.0,51.63,3.0,3679.9714896650034
Super built-up  Area,Ready To Move,Kudlu Gate,Srier P,1535.0,3.0,2.0,85.0,3.0,5537.459283387622
Super built-up  Area,Ready To Move,other,SihtsHe,1475.0,2.0,2.0,120.0,3.0,8135.593220338983
Super built-up  Area,Ready To Move,other,AbnceEs,1133.0,2.0,2.0,55.0,2.0,4854.368932038835
Super built-up  Area,18-Dec,Whitefield,Prtates,1697.0,3.0,2.0,94.79,3.0,5585.739540365351
Super built-up  Area,Ready To Move,other,Siace P,1560.0,3.0,1.0,188.0,3.0,12051.28205128205
Super built-up  Area,17-Apr,Hennur Road,Koagati,1192.0,2.0,1.0,60.0,3.0,5033.557046979866
Super built-up  Area,Ready To Move,Kasavanhalli,Salisal,1349.0,2.0,2.0,78.0,2.0,5782.060785767235
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Eladero,1680.0,3.0,2.0,120.0,3.0,7142.857142857143
Built-up  Area,Ready To Move,Kalyan nagar,SLnorMa,820.0,2.0,0.0,39.0,2.0,4756.09756097561
Plot  Area,Ready To Move,Whitefield,Skensk ,5000.0,4.0,3.0,400.0,4.0,8000.0
Super built-up  Area,Ready To Move,other,Sothin ,856.0,2.0,3.0,40.0,2.0,4672.897196261682
Super built-up  Area,18-Feb,Rajaji Nagar,Puwerun,1621.0,4.0,0.0,130.0,3.0,8019.740900678594
Super built-up  Area,Ready To Move,Bannerghatta Road,TGjraVa,1484.0,3.0,2.0,52.5,3.0,3537.735849056604
Plot  Area,Ready To Move,other,Apavea ,14000.0,3.0,2.0,800.0,4.0,5714.285714285715
Super built-up  Area,Ready To Move,Yelahanka New Town,KHatsFl,500.0,1.0,1.0,20.0,1.0,4000.0
Built-up  Area,Ready To Move,Electronic City,Itelaa ,550.0,1.0,1.0,16.0,2.0,2909.090909090909
Built-up  Area,Ready To Move,other,PancyRe,1384.0,3.0,2.0,62.28,3.0,4500.0
Built-up  Area,Ready To Move,Uttarahalli,Sungsha,1150.0,2.0,1.0,49.0,2.0,4260.869565217391
Built-up  Area,Ready To Move,Kaggadasapura,Adsia F,2150.0,4.0,1.0,100.0,4.0,4651.162790697675
Built-up  Area,Ready To Move,other,ArnzaFi,1508.0,3.0,2.0,70.25,3.0,4658.488063660478
Built-up  Area,Ready To Move,Ramamurthy Nagar,Foghaa ,1040.0,2.0,2.0,50.0,2.0,4807.692307692308
Plot  Area,Ready To Move,other,Lancy R,1240.0,2.0,1.0,60.0,2.0,4838.709677419355
Super built-up  Area,Ready To Move,Kudlu Gate,Srier P,1535.0,3.0,1.0,78.0,3.0,5081.4332247557
Built-up  Area,Ready To Move,Lakshminarayana Pura,RothaVa,1180.0,2.0,2.0,75.0,2.0,6355.932203389831
Super built-up  Area,Ready To Move,Bannerghatta Road,SNity S,1400.0,2.0,2.0,78.0,2.0,5571.428571428572
Plot  Area,Ready To Move,Whitefield,Pronege,4800.0,4.0,3.0,525.0,4.0,10937.5
Super built-up  Area,Ready To Move,Sarjapur  Road,Puallhi,1984.0,4.0,1.0,146.0,3.0,7358.870967741936
Plot  Area,Ready To Move,Whitefield,VDe 1Du,3000.0,5.0,3.0,250.0,4.0,8333.333333333334
Super built-up  Area,Ready To Move,other,BrlisMe,1960.0,3.0,3.0,160.0,3.0,8163.265306122449
Super built-up  Area,Ready To Move,Sarjapur  Road,Shthi S,1035.0,2.0,1.0,45.0,2.0,4347.826086956522
Built-up  Area,Ready To Move,Whitefield,Mithmn ,1700.0,3.0,2.0,115.0,3.0,6764.705882352941
Super built-up  Area,Ready To Move,Hosakerehalli,Taonte ,3024.0,5.0,1.0,248.0,4.0,8201.0582010582
Super built-up  Area,21-Jan,Tumkur Road,Sapus S,1586.0,3.0,1.0,100.0,3.0,6305.170239596469
Plot  Area,Ready To Move,Chikka Tirupathi,Theanmp,2325.0,4.0,1.0,120.0,4.0,5161.290322580645
Super built-up  Area,Ready To Move,Yelahanka,Rarthne,1120.0,2.0,2.0,55.0,2.0,4910.714285714285
Super built-up  Area,Ready To Move,Sarjapur  Road,CharkGr,1128.0,2.0,2.0,59.0,2.0,5230.49645390071
Super built-up  Area,Ready To Move,Jigani,DLhtsan,924.0,2.0,2.0,65.0,2.0,7034.632034632034
Super built-up  Area,Ready To Move,other,AritaFe,1600.0,3.0,2.0,52.0,3.0,3250.0
Super built-up  Area,Ready To Move,other,Srncy R,1200.0,2.0,2.0,55.0,2.0,4583.333333333333
Built-up  Area,Ready To Move,Kannamangala,VBownre,957.0,2.0,1.0,56.0,2.0,5851.619644723093
Super built-up  Area,Ready To Move,Whitefield,SSthamh,1140.0,2.0,2.0,41.0,2.0,3596.4912280701756
Super built-up  Area,Ready To Move,other,RortsCo,1050.0,2.0,1.0,67.0,2.0,6380.952380952381
Super built-up  Area,Ready To Move,Whitefield,GClmsun,1190.0,2.0,3.0,57.0,2.0,4789.915966386555
Built-up  Area,Ready To Move,Kanakpura Road,SoapeSu,1558.67,2.0,2.0,65.0,3.0,4170.222048284755
Super built-up  Area,Ready To Move,Whitefield,Iseenst,1403.0,2.0,2.0,60.81,3.0,4334.283677833215
Super built-up  Area,Ready To Move,Kanakpura Road,SLourle,1542.0,2.0,3.0,85.0,3.0,5512.321660181582
Built-up  Area,Ready To Move,Haralur Road,IDlleri,2750.0,4.0,0.0,220.0,4.0,8000.0
Super built-up  Area,Ready To Move,Iblur Village,Emine P,3596.0,5.0,1.0,290.0,4.0,8064.5161290322585
Super built-up  Area,Ready To Move,other,Puceswn,1596.0,3.0,1.0,105.0,3.0,6578.9473684210525
Super built-up  Area,17-Nov,Channasandra,Unm 2El,1009.0,2.0,1.0,38.34,2.0,3799.8017839445
Super built-up  Area,18-Jul,Hosa Road,Mahesr ,1726.0,3.0,2.0,81.99,3.0,4750.289687137891
Super built-up  Area,Ready To Move,Kudlu Gate,Srier P,1535.0,3.0,2.0,86.0,3.0,5602.605863192182
Plot  Area,Ready To Move,Whitefield,Adowslm,3100.0,4.0,2.0,465.0,4.0,15000.0
Super built-up  Area,19-Dec,Binny Pete,Shestlo,665.0,1.0,0.0,50.75,1.0,7631.578947368421
Built-up  Area,Ready To Move,other,Sothin ,925.0,2.0,2.0,48.0,2.0,5189.189189189189
Super built-up  Area,Ready To Move,other,ArzzaRe,1395.0,2.0,1.0,63.59,2.0,4558.4229390681
Super built-up  Area,Ready To Move,Sonnenahalli,DSgam S,1415.0,2.0,1.0,55.0,3.0,3886.9257950530036
Super built-up  Area,Ready To Move,Begur,Arera V,1419.0,2.0,2.0,59.0,3.0,4157.85764622974
Super built-up  Area,18-Feb,Kasavanhalli,Brersge,1121.0,2.0,2.0,78.0,2.0,6958.07314897413
Super built-up  Area,18-Jun,KR Puram,MCnexva,1100.0,2.0,1.0,47.0,2.0,4272.727272727273
Super built-up  Area,Ready To Move,Hoodi,Keers S,1606.0,3.0,3.0,89.55,3.0,5575.965130759651
Super built-up  Area,Ready To Move,other,Niateki,4634.0,4.0,3.0,1015.0,3.0,21903.32326283988
Super built-up  Area,Ready To Move,Old Airport Road,Vadel C,1206.0,2.0,3.0,75.0,2.0,6218.905472636816
Built-up  Area,Ready To Move,Sarjapur  Road,HIideSu,1495.0,2.0,0.0,64.0,3.0,4280.936454849499
Super built-up  Area,Ready To Move,Electronic City,Itelaa ,710.0,2.0,2.0,16.0,2.0,2253.521126760563
Super built-up  Area,Ready To Move,Nagarbhavi,DSesthr,1523.0,2.0,2.0,53.4,3.0,3506.2376887721603
Super built-up  Area,Ready To Move,Whitefield,Krine C,1232.0,2.0,2.0,45.0,2.0,3652.5974025974024
Super built-up  Area,20-Aug,Rachenahalli,AsNowre,680.0,1.0,1.0,44.0,1.0,6470.588235294118
Super built-up  Area,19-Dec,Hebbal,Magiaya,1355.0,3.0,1.0,83.87,3.0,6189.667896678967
Super built-up  Area,Ready To Move,Thanisandra,MenueNo,1430.0,2.0,2.0,51.46,3.0,3598.6013986013986
Super built-up  Area,Ready To Move,Electronic City,GMown E,1070.0,2.0,1.0,56.1,2.0,5242.990654205608
Super built-up  Area,Ready To Move,Marathahalli,SatatHa,1610.0,3.0,1.0,90.0,3.0,5590.062111801242
Super built-up  Area,Ready To Move,Haralur Road,RInceeg,1140.0,2.0,2.0,43.0,2.0,3771.9298245614036
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1143.0,2.0,2.0,38.65,2.0,3381.4523184601926
Super built-up  Area,22-May,Jakkur,SoineC ,3467.86,6.0,3.0,249.0,4.0,7180.220654813054
Super built-up  Area,Ready To Move,Rachenahalli,Sovar S,1530.0,2.0,2.0,74.4,3.0,4862.745098039216
Super built-up  Area,Ready To Move,7th Phase JP Nagar,Brnia G,980.0,2.0,2.0,69.0,2.0,7040.816326530612
Super built-up  Area,Ready To Move,Whitefield,ChodsGr,1485.0,3.0,2.0,65.0,3.0,4377.104377104377
Plot  Area,18-May,Whitefield,WoarkEm,1500.0,3.0,1.0,130.0,3.0,8666.666666666666
Super built-up  Area,18-Oct,Whitefield,Umods W,1280.0,2.0,1.0,75.0,2.0,5859.375
Super built-up  Area,Ready To Move,Thanisandra,Bhmesy ,1265.0,2.0,2.0,85.0,2.0,6719.367588932806
Super built-up  Area,Ready To Move,other,SJcerpe,1262.0,2.0,2.0,63.0,2.0,4992.076069730587
Super built-up  Area,Ready To Move,JP Nagar,Maentor,940.0,2.0,1.0,49.0,2.0,5212.765957446809
Super built-up  Area,Ready To Move,Jigani,DLhtsan,1300.0,3.0,3.0,150.0,3.0,11538.461538461539
Built-up  Area,Ready To Move,Electronic City,Itvir M,890.0,2.0,2.0,45.0,2.0,5056.179775280899
Super built-up  Area,Ready To Move,Hennur Road,SaireSa,2060.0,3.0,1.0,149.0,3.0,7233.0097087378645
Super built-up  Area,Ready To Move,Bommanahalli,SNeur G,1730.0,3.0,1.0,96.0,3.0,5549.132947976878
Built-up  Area,Ready To Move,Yelahanka,Leilo E,2195.0,4.0,2.0,127.0,3.0,5785.876993166287
Super built-up  Area,19-Oct,Panathur,Caiya D,1085.0,2.0,1.0,36.0,2.0,3317.9723502304146
Super built-up  Area,21-Jul,Hoodi,GoAirej,1639.0,3.0,1.0,98.32,3.0,5998.779743746187
Super built-up  Area,21-Jun,Vijayanagar,Saityat,1739.0,3.0,1.0,116.0,3.0,6670.500287521564
Super built-up  Area,20-Dec,Old Madras Road,Shmes O,935.0,2.0,1.0,32.72,2.0,3499.4652406417113
Super built-up  Area,21-Nov,Thanisandra,Bhe 2ko,510.0,1.0,1.0,25.25,1.0,4950.980392156863
Super built-up  Area,Ready To Move,other,PrestSe,1178.0,2.0,3.0,47.0,2.0,3989.8132427843802
Built-up  Area,Ready To Move,other,Siourpl,1375.0,2.0,1.0,50.0,3.0,3636.3636363636365
Super built-up  Area,Ready To Move,Chandapura,Halms S,1065.0,2.0,1.0,33.0,3.0,3098.5915492957747
Super built-up  Area,Ready To Move,Koramangala,Wiass G,1835.0,2.0,3.0,155.0,3.0,8446.866485013625
Super built-up  Area,20-Dec,Hoodi,Caycend,2090.0,4.0,0.0,95.1,4.0,4550.239234449761
Super built-up  Area,Ready To Move,Lingadheeranahalli,Soiewre,1519.0,3.0,1.0,93.0,3.0,6122.448979591837
Built-up  Area,Ready To Move,other,Asene S,1267.0,3.0,2.0,56.0,3.0,4419.889502762431
Super built-up  Area,Ready To Move,other,Camesa ,1150.0,2.0,3.0,72.2,2.0,6278.260869565217
Super built-up  Area,19-Dec,Marathahalli,PrensKe,1146.0,2.0,1.0,70.0,2.0,6108.202443280978
Built-up  Area,Ready To Move,Kannamangala,Marnaer,1550.0,3.0,3.0,65.0,3.0,4193.548387096775
Built-up  Area,Ready To Move,Chandapura,KHityry,850.0,1.0,1.0,18.5,2.0,2176.470588235294
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,Avlya A,1610.0,3.0,2.0,74.0,3.0,4596.273291925466
Super built-up  Area,Ready To Move,Bellandur,Krine O,921.0,2.0,2.0,40.0,2.0,4343.105320304017
Super built-up  Area,Ready To Move,Sarjapur  Road,SocusHi,1700.0,3.0,3.0,110.0,3.0,6470.588235294118
Built-up  Area,Ready To Move,Sarjapur,Sondaka,1020.0,2.0,2.0,35.0,2.0,3431.372549019608
Super built-up  Area,Ready To Move,Billekahalli,Dintsmi,1090.0,2.0,3.0,52.0,2.0,4770.642201834862
Super built-up  Area,Ready To Move,Thanisandra,MenueNo,1185.0,2.0,2.0,42.1,2.0,3552.7426160337554
Super built-up  Area,Ready To Move,Doddathoguru,Prianhi,850.0,2.0,1.0,25.0,2.0,2941.176470588235
Built-up  Area,Ready To Move,Harlur,Prncyrn,1197.0,2.0,1.0,84.0,2.0,7017.543859649123
Super built-up  Area,Ready To Move,other,ETntsce,3500.0,3.0,3.0,450.0,4.0,12857.142857142857
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,i1rtsCo,1105.0,2.0,1.0,65.0,2.0,5882.35294117647
Super built-up  Area,Ready To Move,Yeshwanthpur,GoandAc,1850.0,3.0,3.0,100.0,3.0,5405.405405405405
Super built-up  Area,20-Dec,other,PrarePa,1300.0,3.0,1.0,64.0,3.0,4923.076923076923
Super built-up  Area,19-Dec,Kodihalli,Priesla,3073.0,5.0,2.0,696.0,4.0,22648.87731858119
Super built-up  Area,20-Oct,Kanakpura Road,PrarePa,900.0,2.0,1.0,46.0,2.0,5111.111111111111
Super built-up  Area,Ready To Move,Bannerghatta Road,PrliaRe,1654.0,3.0,2.0,100.0,3.0,6045.949214026602
Built-up  Area,Ready To Move,other,Hoens T,1367.0,2.0,2.0,62.0,2.0,4535.479151426482
Super built-up  Area,Ready To Move,Devanahalli,Brntsal,1010.0,2.0,1.0,51.0,2.0,5049.504950495049
Carpet  Area,Ready To Move,other,SVon hn,1535.0,3.0,1.0,95.0,3.0,6188.9250814332245
Super built-up  Area,18-Dec,Whitefield,BSlasin,1330.0,2.0,1.0,71.0,2.0,5338.345864661655
Built-up  Area,Ready To Move,JP Nagar,Ronty C,2500.0,3.0,2.0,135.0,3.0,5400.0
Super built-up  Area,Ready To Move,Bhoganhalli,BSisear,1410.0,3.0,1.0,65.0,3.0,4609.929078014185
